"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","REPUBLIC","XMAS","substitute_avg_price","sum_rows","weekly_qty","yhat"
"40",2016-10-02,-0.902307033150691,79.7083050600924,0.267339867812211,26.4778448296493,-15.8113436375179,0,0,3.68209671402042,0,0,0,0,0,0,0,-104.501393185512,0,0.66040242852668,-10.4190549560792,236,227.018559971885
"41",2016-10-09,-0.81328858202744,-15.8801357094683,-1.4010517897168,22.5299722901388,-12.943206951995,0,0,11.8008567659108,0,0,0,0,0,0,0,0,0,-1.24334475148453,2.04980127135758,175,204.621704087514
"42",2016-10-16,-0.816415581047863,-15.9411929650419,-2.82226559361931,21.3084703721186,-11.678251856598,0,0,17.8692776424414,0,0,0,0,0,0,0,0,0,-5.39298502256693,2.52663699568598,225,205.408450492642
"43",2016-10-23,-0.734143400929071,-14.3347602494329,-3.76572103205328,18.018998924046,-9.35123857230786,0,0,1.12983218249252,0,0,0,0,0,0,0,0,0,-7.49120155531301,-16.5282337034976,227,184.708942265276
"44",2016-10-30,-0.861741834254957,10.9995877989221,-5.5006224709482,19.8547880454938,-9.69410937732542,0,0,7.40285838590839,0,0,0,0,0,0,0,0,0,-6.39977111575917,15.8009894320365,232,216.812440879449
"45",2016-11-06,-0.77752791555622,-15.1818789662002,-5.42524143064097,16.7886879899691,-7.66935200122904,0,0,8.2397117000049,0,0,0,0,0,0,0,0,0,-1.98177406558509,-6.00737468923751,235,195.624395291663
"46",2016-11-13,-0.826536804958863,-16.1388182764066,-6.03340415762557,16.6991217578777,-7.10398045605655,0,0,20.6774820733265,0,0,0,0,0,0,0,0,0,-1.72328937089864,5.55057476525806,210,207.954929233259
"47",2016-11-20,-0.809448643082646,-15.8051577091539,-6.25470484006038,15.2795854892087,-6.02957171382491,0,0,18.6420921715318,0,0,0,0,0,0,0,0,0,-3.58700119807406,1.43579355654461,211,203.65558349043
"48",2016-11-27,-0.968091236124707,39.8939519935882,-7.88683174079284,17.0502285959626,-6.22108061246473,0,0,9.26644259907567,0,0,0,0,0,0,0,0,0,-7.87260185165113,43.2620177475931,269,243.569727677974
"49",2016-12-04,-0.813010887277073,-15.8747134886,-6.90649815356863,13.3426375147976,-4.48937839860454,0,0,21.6073799325447,0,0,0,0,0,0,0,0,0,-4.69208799335567,2.17432852593637,223,204.55183666986
"50",2016-12-11,-0.749590956564447,-14.6363866158793,-6.68988206735608,11.4492766259258,-3.54484515049811,0,0,2.54477589899795,0,0,0,0,0,0,0,0,0,-0.46369055143191,-12.0903428168061,231,188.595514913593
"51",2016-12-18,-1.05831196091953,43.6118466810767,-10.4007610865488,15.0275503070853,-4.27397907602648,0,23.3693886285022,9.42503026634085,0,0,0,0,0,0,0,0,0,-5.42872217026724,70.2720415892431,294,266.26907310037
"52",2016-12-25,-0.840940104878257,34.6541967550415,-9.75571387229354,11.0893558698587,-2.89321635386645,0,18.5694359034913,9.990937417618,0,0,0,0,0,0,0,0,-51.7943429092306,-7.48769681735257,1.53201588838806,228,211.578769330273
"53",2017-01-01,-1.12878522992366,46.5159709057048,-15.0178573098412,13.8101096650449,-3.30169537558953,0,24.9255623013825,2.55572025574344,0,38.5867509483382,0,0,0,0,0,0,0,-16.8563468125865,90.0894293482729,284,284.000000000001
"54",2017-01-08,-0.761447618336263,-14.867897794271,-10.8243080127738,8.6353147862807,-1.89027763251005,0,0,5.62016776998865,0,0,0,0,0,0,0,0,0,4.70334450620189,-9.38510399541983,169,191.578626185719
"55",2017-01-15,-0.78454992445117,-15.3189895277754,-11.5827188900578,8.24037681811302,-1.65056552833391,0,0,13.8966911012207,0,0,0,0,0,0,0,0,0,3.04868360726155,-4.15107234402296,193,197.391118024466
"56",2017-01-22,-0.802918860894749,-15.6776582832568,-12.1762767018682,7.80457083487195,-1.42980285281521,0,0,19.5282965203036,0,0,0,0,0,0,0,0,0,2.71292394337996,-0.0408654002793583,212,202.012703966315
"57",2017-01-29,-0.887090811213596,11.3231514076342,-13.502651141657,7.9741375444176,-1.33571666936965,0,0,18.4982894918184,0,0,0,0,0,0,0,0,0,0.823453803766995,22.8935736253969,216,223.190190397613
"58",2017-02-05,-0.724708044181142,-14.1505270646382,-10.730149151204,6.02043199467184,-0.921873609616625,0,0,4.41469671589297,0,0,0,0,0,0,0,0,0,-1.71097669815225,-17.8031058572275,182,182.33502626658
"59",2017-02-12,-0.7392848259544,-14.4351508474889,-10.1792702100906,5.67228028636237,-0.793893438793077,0,0,4.54562326450556,0,0,0,0,0,0,0,0,0,1.53064974911737,-14.3990460223417,171,186.002514034712
"60",2017-02-19,-0.779249939781124,-15.2155029208344,-10.0045325072622,5.51895226995023,-0.705992166365036,0,0,13.0336971656283,0,0,0,0,0,0,0,0,0,2.9386595299238,-5.21396856874051,209,196.057652980469
"61",2017-02-26,-1.09679797899906,96.8893122711014,-12.9998842034227,23.5728646868146,-19.1428810530359,-19.0514615838683,0,13.5355951404456,0,0,-19.7325158253048,0,0,0,0,0,0,0.829041495941283,62.8032729496721,274,275.952074653565
