"","tran_wk","avg_shelf_price","discount_percent","seas_index","tv_reach","radio_reach","flyer","display","email","paid_search","web","NEWYEAR","CARNIVAL","LIBERTY","LABOR","PORTUGAL","ASSUMPTION","XMAS","REPUBLIC","substitute_avg_price","sum_rows","weekly_qty","yhat"
"30",2016-07-24,-266383.220915524,15.3593947666884,47.8442617442243,-35.659014184334,10.0464921297161,0,0,0,8.16656910043126,4.68328234594551,0,0,0,0,0,0,0,0,-13.7135248814845,-266346.493454503,66,66.6169431642671
"31",2016-07-31,-148986.980152542,-16.9873036081082,26.3574808362682,-18.3271752452704,4.86682722381549,0,0,0,6.43597807022622,3.45087304677872,0,0,0,0,0,0,0,0,-7.4068655774271,-148988.590337796,49,37.2585673937214
"32",2016-08-07,-360993.44071656,53.5671335491765,61.9215775282071,-40.7853019529035,10.1705862272264,-7.71052618051691,0,0,3.3151307301768,0,0,0,0,0,0,0,0,0,-17.4023450538005,-360930.364461712,71,90.2770055870541
"33",2016-08-14,-64064.4648864053,-4.07995407211701,5.86216772392798,-3.71152199801216,0.866307064226747,0,0,0,1.45879843000906,0,0,0,0,0,0,-7.26485937809008,0,0,-1.68545090150354,-64073.0193995369,10,8.9486387755325
"34",2016-08-21,-89698.2151960179,-5.71244291198754,7.54440929792062,-4.76905110932087,1.03895303667927,0,0,0,0.771920066815253,0,0,0,0,0,0,0,0,0,-2.50603827538104,-89701.8474459132,14,12.529206761071
"35",2016-08-28,-84937.8847825317,-5.40928062865991,6.31896270722914,-4.14320404106986,0.840375893746689,0,0,0,1.62402946112603,0,0,0,0,0,0,0,0,0,-2.18885493548748,-84940.8427540748,19,11.8642753143165
"36",2016-09-04,-68422.8380598256,-4.35751765449035,4.34298751782784,-3.06140141595046,0.576905410084271,0,0,0,0.790741719360067,0,0,0,0,0,0,0,0,0,-1.88988021699759,-68426.4362244658,14,9.55742411771968
"37",2016-09-11,-60693.274422361,-3.86525935350743,3.10748295485859,-2.49036019420892,0.435205843427825,0,0,0,0.654918752910584,0,0,0,0,0,0,0,0,0,-1.42921181639175,-60696.8616461739,13,8.47774487577474
"38",2016-09-18,-58698.2713065451,-3.73820731146365,2.1549844461198,-2.20843492869584,0.357337048797637,0,0,0,1.45355538297746,0,0,0,0,0,0,0,0,0,-1.45379456157314,-58701.7058664689,9,8.19907928056289
"39",2016-09-25,-45993.5309355373,-2.92910421033276,0.989525240763649,-1.58651223138785,0.237359964530329,0,0,0,0.458891485221387,0,0,0,0,0,0,0,0,0,-1.10963159183272,-45997.4704068803,3,6.42445847449421
"40",2016-10-02,-188977.843163066,24.4627438894907,0.502324961420719,-21.0335222300301,11.1737517115671,-2.25453786266224,-33.381325158607,0,0.836475062009519,0,0,0,0,0,0,0,0,-22.3349124624618,-5.22323684130757,-189025.095401997,25,26.3967623556061
"41",2016-10-09,-41348.370542247,-2.63327654524813,-0.679742485118517,-4.2473116908739,2.27750422500863,0,0,0,0.63758484479972,0,0,0,0,0,0,0,0,0,-1.02504039123207,-41354.0408242897,4,5.77561418167647
"42",2016-10-16,-38660.8007870472,-2.46211830352601,-1.34579348130291,-3.66072100617412,1.96397104328895,0,0,0,0.886077474801785,0,0,0,0,0,0,0,0,0,-0.974616869815379,-38666.3939881899,7,5.40020964242101
"43",2016-10-23,-28625.9175306225,-1.82304541221467,-1.55822176141554,-2.4960611098387,1.32826376223081,0,0,0,0.0480210908578687,0,0,0,0,0,0,0,0,0,-0.773735860871712,-28631.1923099138,1,3.998519242359
"44",2016-10-30,-51231.4557973438,1.42588652248021,-3.6109315826745,-4.11015833005143,2.15143304524239,0,0,0,0.473193810583596,0,0,0,0,0,0,0,0,0,-1.19681863834749,-51236.3231925166,9,7.15610116603619
"45",2016-11-13,-28898.3417015457,-1.84039478221989,-2.39837041063066,-1.95862035609157,0.969310979773331,0,0,0,0.752256905028668,0,0,0,0,0,0,0,0,0,-0.818663463543992,-28903.6361826734,5,4.0365719366824
"46",2016-11-20,-27839.4837255479,-1.77296126945075,-2.47952739476709,-1.73285743912202,0.825226404914086,0,0,0,0.669838719117295,0,0,0,0,0,0,0,0,0,-0.715255725298493,-27844.6892622525,4,3.88866876510988
"47",2016-11-27,-73999.2468484883,5.7842092972983,-7.04299622982585,-4.22834467304915,1.92583010931133,-0.882823621203299,0,0,0.760095271179541,0,0,0,0,0,0,0,0,0,-1.78404887724285,-74004.7149272118,14,10.3363468481745
"48",2016-12-04,-27215.2590340569,-1.73320743592572,-2.73140394903309,-1.4270746862914,0.618217941846037,0,0,0,0.750239218488333,0,0,0,0,0,0,0,0,0,-0.672339548458778,-27220.4546025163,3,3.80147594630112
